Spalte 1,Date,Return,Symbol
0,01-31-10,-0.0604,Top
1,02-28-10,0.0963,Top
2,03-31-10,0.0588,Top
3,04-30-10,0.0196,Top
4,05-31-10,-0.0101,Top
5,06-30-10,-0.0753,Top
6,07-31-10,0.1162,Top
7,08-31-10,0.0016,Top
8,09-30-10,0.0893,Top
9,10-31-10,0.0753,Top
10,11-30-10,0.1273,Top
11,12-31-10,0.0283,Top
12,01-31-11,0.0008,Top
13,02-28-11,0.059,Top
14,03-31-11,0.0703,Top
15,04-30-11,0.0474,Top
16,05-31-11,0.0182,Top
17,06-30-11,0.0719,Top
18,07-31-11,-0.0463,Top
19,08-31-11,0.0175,Top
20,09-30-11,-0.0091,Top
21,10-31-11,0.074,Top
22,11-30-11,0.0092,Top
23,12-31-11,0.021,Top
24,01-31-12,0.0949,Top
25,02-29-12,0.039,Top
26,03-31-12,0.0182,Top
27,04-30-12,0.0208,Top
28,05-31-12,-0.0822,Top
29,06-30-12,0.0257,Top
30,07-31-12,-0.01,Top
31,08-31-12,0.0535,Top
32,09-30-12,0.0264,Top
33,10-31-12,-0.0091,Top
34,11-30-12,0.0017,Top
35,12-31-12,0.0153,Top
36,01-31-13,0.013,Top
37,02-28-13,0.0147,Top
38,03-31-13,-0.0046,Top
39,04-30-13,0.0413,Top
40,05-31-13,0.0323,Top
41,06-30-13,-0.0016,Top
42,07-31-13,0.0822,Top
43,08-31-13,0.0138,Top
44,09-30-13,0.0703,Top
45,10-31-13,0.0497,Top
46,11-30-13,0.0339,Top
47,12-31-13,0.0304,Top
48,01-31-14,-0.0695,Top
,02-28-14,0.0998,Top
50,03-31-14,-0.0156,Top
51,04-30-14,-0.0554,Top
52,05-31-14,0.0117,Top
53,06-30-14,0.0214,Top
54,07-31-14,0.0221,Top
55,08-31-14,0.079,Top
56,09-30-14,-0.0301,Top
57,10-31-14,0.0525,Top
58,11-30-14,0.064,Top
59,12-31-14,0.0187,Top
60,01-31-15,0.0629,Top
61,02-28-15,0.0238,Top
62,03-31-15,-0.0305,Top
63,04-30-15,-0.0072,Top
64,05-31-15,-0.0068,Top
65,06-30-15,0.0113,Top
66,07-31-15,0.0223,Top
67,08-31-15,-0.0931,Top
68,09-30-15,0.011,Top
69,10-31-15,0.0846,Top
70,11-30-15,0.0318,Top
71,12-31-15,-0.0348,Top
72,01-31-16,-0.0708,Top
73,02-29-16,0.0478,Top
74,03-31-16,0.0737,Top
75,04-30-16,-0.0158,Top
76,05-31-16,0.0034,Top
77,06-30-16,0.0427,Top
78,07-31-16,-0.0099,Top
79,08-31-16,0.0079,Top
80,09-30-16,0.0009,Top
81,10-31-16,-0.0445,Top
82,11-30-16,0.0507,Top
83,12-31-16,0.0447,Top
84,01-31-17,0.0712,Top
85,02-28-17,0.0513,Top
86,03-31-17,0.045,Top
87,04-30-17,0.0497,Top
88,05-31-17,0.0529,Top
89,06-30-17,-0.0224,Top
90,07-31-17,0.0654,Top
91,08-31-17,0.0406,Top
92,09-30-17,0.0964,Top
93,10-31-17,0.0167,Top
94,11-30-17,0.0821,Top
95,12-31-17,0.0888,Top
96,01-31-18,0.1144,Top
97,02-28-18,0.0073,Top
98,03-31-18,-0.0257,Top
99,04-30-18,0.0777,Top
100,05-31-18,0.0508,Top
101,06-30-18,-0.0134,Top
102,07-31-18,0.0287,Top
103,08-31-18,0.0495,Top
104,09-30-18,0.0213,Top
105,10-31-18,-0.1087,Top
106,11-30-18,-0.0167,Top
107,12-31-18,-0.0598,Top
108,01-31-19,0.1382,Top
109,02-28-19,0.0911,Top
110,03-31-19,0.0435,Top
111,04-30-19,0.0059,Top
112,05-31-19,-0.0543,Top
113,06-30-19,0.0803,Top
114,07-31-19,-0.0384,Top
115,08-31-19,-0.02,Top
116,09-30-19,-0.0417,Top
117,10-31-19,0.0646,Top
118,11-30-19,0.047,Top
119,12-31-19,0.0781,Top
120,01-31-20,0.0779,Top
121,02-29-20,-0.0501,Top
122,03-31-20,-0.0841,Top
123,04-30-20,0.2503,Top
124,05-31-20,0.194,Top
125,06-30-20,0.0105,Top
126,07-31-20,0.1749,Top
127,08-31-20,0.0738,Top
128,09-30-20,-0.0707,Top
129,10-31-20,-0.0033,Top
130,11-30-20,0.2002,Top
131,12-31-20,0.0507,Top
132,01-31-21,0.0565,Top
133,02-28-21,-0.1001,Top
134,03-31-21,-0.0615,Top
135,04-30-21,-0.0041,Top
136,05-31-21,0.0161,Top
137,06-30-21,0.1142,Top
138,07-31-21,0.0556,Top
139,08-31-21,0.0436,Top
140,09-30-21,-0.0876,Top
141,10-31-21,0.2024,Top
142,11-30-21,0.0898,Top
143,12-31-21,-0.0018,Top
144,01-31-22,-0.1171,Top
145,02-28-22,-0.0269,Top
146,03-31-22,0.0758,Top
147,04-30-22,-0.0749,Top
148,05-31-22,0.0004,Top
149,06-30-22,-0.127,Top
150,07-31-22,0.2016,Top
151,08-31-22,-0.015,Top
152,09-30-22,-0.0893,Top
153,10-31-22,0.0624,Top
154,11-30-22,0.0331,Top
155,12-31-22,-0.097,Top
156,01-31-23,0.1721,Top
157,02-28-23,0.0386,Top
158,03-31-23,0.0879,Top
159,04-30-23,-0.0354,Top
160,05-31-23,0.031,Top
161,06-30-23,0.1074,Top
162,07-31-23,0.0699,Top
163,08-31-23,0.0259,Top
164,09-30-23,-0.0728,Top
165,10-31-23,0.007,Top
166,11-30-23,0.1249,Top
167,12-31-23,0.0238,Top
168,01-31-24,0.1328,Top
169,02-29-24,0.0909,Top
170,03-31-24,0.0609,Top
171,04-30-24,-0.0733,Top
172,05-31-24,0.1212,Top
173,06-30-24,0.0343,Top
174,07-31-24,-0.1002,Top
175,08-31-24,0.0485,Top
176,09-30-24,0.0497,Top
177,10-31-24,0.0261,Top
178,11-30-24,0.0538,Top
179,12-31-24,-0.0123,Top
180,01-31-25,-0.0073,Top
181,02-28-25,-0.0622,Top
182,03-31-25,-0.0737,Top
183,04-30-25,0.0956,Top
184,05-31-25,0.136,Top
185,06-30-25,-0.0248,Top
