,Period,Metrics,Month,FY
32,2024-02,Total Import,4028.50599466,4028.50599466
30,2024-02,Export-Import Balance,1251.63344525,1251.63344525
31,2024-02,Total Export,5280.13943991,5280.13943991
29,2024-03,Total Import,2211.30611145,6238.38749059
28,2024-03,Total Export,2796.81674858,8074.96549617
27,2024-03,Export-Import Balance,585.51063713,1836.57800558
26,2024-04,Total Import,2201.01809805,8439.10454969
25,2024-04,Total Export,2924.53497818,10995.70360839
24,2024-04,Export-Import Balance,723.51688013,2556.5990587
23,2024-05,Total Import,2197.25898175,10635.56756942
22,2024-05,Total Export,3023.48018876,14007.63015925
21,2024-05,Export-Import Balance,826.22120701,3372.06258983
20,2024-06,Total Import,2088.07982922,12725.75693868
19,2024-06,Total Export,3078.54504941,17075.67002228
18,2024-06,Export-Import Balance,990.46522019,4349.9130836
17,2024-07,Total Import,2159.09599592,14885.19636002
16,2024-07,Total Export,3005.56525447,20065.21332277
15,2024-07,Export-Import Balance,846.46925855,5180.01696275
14,2024-08,Total Import,2176.25707477,17062.6906698
13,2024-08,Total Export,3086.47262032,23147.65892495
12,2024-08,Export-Import Balance,910.21554555,6084.96825515
11,2024-09,Total Import,2220.01611024,19281.57723573
10,2024-09,Total Export,3037.12134496,26176.60292552
9,2024-09,Export-Import Balance,817.10523472,6895.02568979
8,2024-10,Total Import,2133.39604641,21411.90538467
7,2024-10,Total Export,3090.58423068,29264.55404682
6,2024-10,Export-Import Balance,957.18818427,7852.64866215
5,2024-11,Total Import,2148.67327188,23560.34258143
4,2024-11,Total Export,3123.10466438,32407.08326467
3,2024-11,Export-Import Balance,974.4313925,8846.74068324
2,2024-12,Total Import,2307.89125894,25850.66667519
1,2024-12,Total Export,3356.27037729,35772.22027924
0,2024-12,Export-Import Balance,1048.37911835,9921.55360405
3,2025-02,Export-Import Balance,1705.15192811,1705.15192811
4,2025-02,Total Export,5399.40790825,5399.40790825
5,2025-02,Total Import,3694.25598014,3694.25598014
0,2025-03,Export-Import Balance,1026.42463769,2729.67385362
1,2025-03,Total Export,3139.11793171,8536.67441891
2,2025-03,Total Import,2112.69329402,5807.00056529
